chart,age,age_units,gender,measure,measure_units,L,M,S
zemel_2015_pedi,9,years,m,head_circ,cm,3.951,49.592,0.03
zemel_2015_pedi,9.5,years,m,head_circ,cm,3.798,49.693,0.03
zemel_2015_pedi,10,years,m,head_circ,cm,3.617,49.808,0.03
zemel_2015_pedi,10.5,years,m,head_circ,cm,3.379,49.952,0.03
zemel_2015_pedi,11,years,m,head_circ,cm,3.059,50.137,0.03
zemel_2015_pedi,11.5,years,m,head_circ,cm,2.633,50.374,0.03
zemel_2015_pedi,12,years,m,head_circ,cm,2.105,50.651,0.03
zemel_2015_pedi,12.5,years,m,head_circ,cm,1.49,50.955,0.031
zemel_2015_pedi,13,years,m,head_circ,cm,0.769,51.312,0.031
zemel_2015_pedi,13.5,years,m,head_circ,cm,-0.032,51.717,0.031
zemel_2015_pedi,14,years,m,head_circ,cm,-0.814,52.094,0.031
zemel_2015_pedi,14.5,years,m,head_circ,cm,-1.501,52.4,0.031
zemel_2015_pedi,15,years,m,head_circ,cm,-2.063,52.636,0.031
zemel_2015_pedi,15.5,years,m,head_circ,cm,-2.554,52.842,0.031
zemel_2015_pedi,16,years,m,head_circ,cm,-2.994,53.029,0.032
zemel_2015_pedi,16.5,years,m,head_circ,cm,-3.355,53.183,0.032
zemel_2015_pedi,17,years,m,head_circ,cm,-3.64,53.306,0.032
zemel_2015_pedi,17.5,years,m,head_circ,cm,-3.826,53.386,0.032
zemel_2015_pedi,18,years,m,head_circ,cm,-3.902,53.419,0.032
zemel_2015_pedi,18.5,years,m,head_circ,cm,-3.932,53.431,0.032
zemel_2015_pedi,19,years,m,head_circ,cm,-3.965,53.446,0.032
zemel_2015_pedi,19.5,years,m,head_circ,cm,-3.995,53.459,0.032
zemel_2015_pedi,20,years,m,head_circ,cm,-4.024,53.471,0.032
zemel_2015_pedi,2,years,m,bmi,kg/m2,-1.435,16.777,0.098
zemel_2015_pedi,2.5,years,m,bmi,kg/m2,-1.435,16.784,0.098
zemel_2015_pedi,3,years,m,bmi,kg/m2,-1.435,16.792,0.099
zemel_2015_pedi,3.5,years,m,bmi,kg/m2,-1.435,16.802,0.099
zemel_2015_pedi,4,years,m,bmi,kg/m2,-1.435,16.82,0.1
zemel_2015_pedi,4.5,years,m,bmi,kg/m2,-1.435,16.85,0.101
zemel_2015_pedi,5,years,m,bmi,kg/m2,-1.435,16.892,0.102
zemel_2015_pedi,5.5,years,m,bmi,kg/m2,-1.435,16.949,0.104
zemel_2015_pedi,6,years,m,bmi,kg/m2,-1.435,17.023,0.107
zemel_2015_pedi,6.5,years,m,bmi,kg/m2,-1.435,17.114,0.11
zemel_2015_pedi,7,years,m,bmi,kg/m2,-1.435,17.229,0.113
zemel_2015_pedi,7.5,years,m,bmi,kg/m2,-1.435,17.371,0.118
zemel_2015_pedi,8,years,m,bmi,kg/m2,-1.435,17.545,0.123
zemel_2015_pedi,8.5,years,m,bmi,kg/m2,-1.435,17.753,0.129
zemel_2015_pedi,9,years,m,bmi,kg/m2,-1.435,17.996,0.135
zemel_2015_pedi,9.5,years,m,bmi,kg/m2,-1.435,18.27,0.141
zemel_2015_pedi,10,years,m,bmi,kg/m2,-1.435,18.577,0.147
zemel_2015_pedi,10.5,years,m,bmi,kg/m2,-1.435,18.915,0.154
zemel_2015_pedi,11,years,m,bmi,kg/m2,-1.435,19.284,0.16
zemel_2015_pedi,11.5,years,m,bmi,kg/m2,-1.435,19.686,0.165
zemel_2015_pedi,12,years,m,bmi,kg/m2,-1.435,20.122,0.17
zemel_2015_pedi,12.5,years,m,bmi,kg/m2,-1.435,20.596,0.175
zemel_2015_pedi,13,years,m,bmi,kg/m2,-1.435,21.107,0.178
zemel_2015_pedi,13.5,years,m,bmi,kg/m2,-1.435,21.651,0.181
zemel_2015_pedi,14,years,m,bmi,kg/m2,-1.435,22.212,0.182
zemel_2015_pedi,14.5,years,m,bmi,kg/m2,-1.435,22.774,0.183
zemel_2015_pedi,15,years,m,bmi,kg/m2,-1.435,23.32,0.184
zemel_2015_pedi,15.5,years,m,bmi,kg/m2,-1.435,23.836,0.184
zemel_2015_pedi,16,years,m,bmi,kg/m2,-1.435,24.319,0.184
zemel_2015_pedi,16.5,years,m,bmi,kg/m2,-1.435,24.767,0.183
zemel_2015_pedi,17,years,m,bmi,kg/m2,-1.435,25.175,0.183
zemel_2015_pedi,17.5,years,m,bmi,kg/m2,-1.435,25.539,0.182
zemel_2015_pedi,18,years,m,bmi,kg/m2,-1.435,25.859,0.182
zemel_2015_pedi,18.5,years,m,bmi,kg/m2,-1.435,26.14,0.181
zemel_2015_pedi,19,years,m,bmi,kg/m2,-1.435,26.388,0.181
zemel_2015_pedi,19.5,years,m,bmi,kg/m2,-1.435,26.611,0.181
zemel_2015_pedi,20,years,m,bmi,kg/m2,-1.435,26.814,0.18
